source,target,site,hyperlink
www.gov.za,linkedin.com,https://linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.gov.za%2Fabout-government%2Fgovernment-programmes%2Frenewable-independent-power-producer-programme,LinkedIn
www.mainstreamrp.com,twitter.com,https://twitter.com/MainstreamRP,"
"
www.mainstreamrp.com,www.linkedin.com,https://www.linkedin.com/company/mainstream-renewable-power/,"
"
www.mainstreamrp.com,twitter.com,https://twitter.com/MainstreamRP,"
"
www.mainstreamrp.com,www.linkedin.com,https://www.linkedin.com/company/mainstream-renewable-power/,"
"
www.mainstreamrp.com,app.convercent.com,https://app.convercent.com/en-US/LandingPage/79b275f1-dec7-ec11-a98b-000d3ab9f296,Mainstream Speak Up Line
www.mainstreamrp.com,twitter.com,https://twitter.com/MainstreamRP,"
"
www.mainstreamrp.com,www.linkedin.com,https://www.linkedin.com/company/mainstream-renewable-power/,"
"
www.mainstreamrp.com,www.thewebkitchen.co.uk,https://www.thewebkitchen.co.uk/,Web design
www.mainstreamrp.com,www.thewebkitchen.co.uk,https://www.thewebkitchen.co.uk/,TWK
www.engie.com,www.engie-homeservices.fr,https://www.engie-homeservices.fr,ENGIE Home Services
www.edf-renouvelables.com,twitter.com,https://twitter.com/EDF_RE,Twitter EDF Renouvelables
www.edf-renouvelables.com,www.edf.fr,https://www.edf.fr/,EDF Groupe
www.edf-renouvelables.com,edf-re.com.br,https://edf-re.com.br/,EDF Renewables Brazil
www.edf-renouvelables.com,www.edf-re.ca,https://www.edf-re.ca/,EDF Renewables Canada
www.edf-renouvelables.com,www.edf-re.de,https://www.edf-re.de/,EDF Renewables Germany
www.edf-renouvelables.com,www.edf-re.in,https://www.edf-re.in/,EDF Renewables India
www.edf-renouvelables.com,eden-re.com,https://eden-re.com/,Eden Renewables India
www.edf-renouvelables.com,www.edf-re.mx,https://www.edf-re.mx/,EDF Renewables Mexico
www.edf-renouvelables.com,edf-re.co.za,https://edf-re.co.za/,EDF Renewables South Africa
www.edf-renouvelables.com,www.edf-re.com,https://www.edf-re.com/,EDF Renewables US
www.edf-renouvelables.com,www.edf-re.uk,https://www.edf-re.uk/,EDF Renewables UK
www.edf-renouvelables.com,www.edf.fr,https://www.edf.fr/,EDF Groupe
www.edf-renouvelables.com,edf-re.com.br,https://edf-re.com.br/,EDF Renewables Brazil
www.edf-renouvelables.com,www.edf-re.ca,https://www.edf-re.ca/,EDF Renewables Canada
www.edf-renouvelables.com,www.edf-re.de,https://www.edf-re.de/,EDF Renewables Germany
www.edf-renouvelables.com,www.edf-re.in,https://www.edf-re.in/,EDF Renewables India
www.edf-renouvelables.com,eden-re.com,https://eden-re.com/,Eden Renewables India
www.edf-renouvelables.com,www.edf-re.mx,https://www.edf-re.mx/,EDF Renewables Mexico
www.edf-renouvelables.com,edf-re.co.za,https://edf-re.co.za/,EDF Renewables South Africa
www.edf-renouvelables.com,www.edf-re.com,https://www.edf-re.com/,EDF Renewables US
www.edf-renouvelables.com,www.edf-re.uk,https://www.edf-re.uk/,EDF Renewables UK
www.edf-renouvelables.com,twitter.com,https://twitter.com/EDF_RE,Twitter EDF Renouvelables
www.edf-renouvelables.com,twitter.com,https://twitter.com/EDF_RE,Twitter EDF Renouvelables
www.edf-renouvelables.com,twitter.com,https://twitter.com/EDF_RE,"
			"
www.edf-renouvelables.com,twitter.com,https://twitter.com/EDF_RE,COMPTE TWITTER
,,,
scatec.com,stem.no,https://stem.no,Stem Agency
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
www.juwi.com,www.juwi-shizenenergy.com,https://www.juwi-shizenenergy.com/,"
                            "
www.juwi.com,www.juwiamericas.com,https://www.juwiamericas.com/,"
                            "
www.juwi.com,de.linkedin.com,https://de.linkedin.com/organization-guest/company/juwi-group,"
											
												"
www.juwi.com,www.xing.com,https://www.xing.com/company/juwi-gruppe/updates,"
											
												"
www.juwi.com,twitter.com,https://twitter.com/juwigruppe?lang=de,"
											
												"
